country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Honduras;HND;3;;admin3pcod;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/bd62fb53-64d3-478f-9ca8-38e4a2de19c0/resource/618df9ce-feb1-46de-a9ac-a6ff04cb52ce/download/hnd_admbnda_adm3_sinit_20161005.zip;0
Iraq;IRQ;1;;;;;;;http://data.humdata.org/dataset/488bb3cd-3ce9-49d3-862a-3ce7975c63e1/resource/4e2a34ef-8b54-4e69-863a-810fa5d298d4/download/iraq_admbnda_adm1.zip;0
Iraq;IRQ;2;;;;;;;http://data.humdata.org/dataset/488bb3cd-3ce9-49d3-862a-3ce7975c63e1/resource/7003112f-22de-4426-a1d1-9ddc45e211a8/download/iraq_admbnda_adm2.zip;0
Jamaica;JAM;1;;;;;;;http://data.humdata.org/dataset/21ef604e-39ba-4a2a-9675-08acb24298d1/resource/c093b0ad-3854-4614-b32d-19b14dde72e5/download/Administrative_Boundaries_Level_1.zip;0
Kenya;KEN;1;;;;;;;http://data.humdata.org/dataset/2c0b7571-4bef-4347-9b81-b2174c13f9ef/resource/5e6bb3bd-6ff8-4127-82b7-5a846bd4b802/download/Kenya_admin1_county.zip;0
Kenya;KEN;2;;;;;;;http://data.humdata.org/dataset/2c0b7571-4bef-4347-9b81-b2174c13f9ef/resource/14c0dc85-7933-4f3f-b5d4-12a1aea41e00/download/Kenya_admin2_subcounty.zip;0
Kenya;KEN;1;;;;;;;http://data.humdata.org/dataset/8158e5a1-065b-47b7-b5ad-aff3a7157535/resource/9dbe8e4f-3085-467b-8111-402ba9ceaadc/download/Ken_Admin1.zip;0
Kenya;KEN;3;;;;;;;http://data.humdata.org/dataset/1c6caac8-874e-47fd-87c4-4d5d91c47e8f/resource/321ce757-f063-475a-9442-c181c444e429/download/kendivisions.zip;0
Kenya;KEN;2;;;;;;;http://data.humdata.org/dataset/23b3ea32-5cdc-47a0-94a5-763a611a2449/resource/65b395f2-4ce6-41d9-a169-d17e021a7843/download/kendistricts.zip;0
Kuwait;KWT;1;;;;;;;http://data.humdata.org/dataset/a28f399f-482c-4e62-8dbf-d2c12381674a/resource/cdc040d0-844d-4fbd-a13c-819adda7f624/download/KWT_adm1.zip;0
Lao People's Democratic Republic;LAO;1;;pcode;pname;;;;http://data.humdata.org/dataset/9eb6aff1-9e3f-43d3-99a6-f415fe4b4dff/resource/d17e2136-9099-43d0-815e-8a0eece8a7fe/download/Lao_bnd_admin1_ngd2015.zip;0
Lao People's Democratic Republic;LAO;2;;dcode;dname;pcode;pname;;http://data.humdata.org/dataset/9eb6aff1-9e3f-43d3-99a6-f415fe4b4dff/resource/ed026c9b-d8a1-4337-9633-66ac944b82a5/download/lao_bnd_admin2_ngd2015.zip;0
Libya;LBY;1;;;;;;;http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/8b9ba98c-8d50-4c1c-bf37-8edde91bf33c/download/Lby_Adm1_Geodivision.zip;0
Libya;LBY;2;;;;;;;http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/c3a9343c-0181-4beb-9ce3-461823b0f5d7/download/Lby_Adm2_Mantika.zip;0
Libya;LBY;3;;;;;;;http://data.humdata.org/dataset/fd9fb749-5b68-4942-b5f9-115f20b5c00e/resource/b0342205-3a2a-4002-b5c7-e776aaac8831/download/Lby_Adm3_Baladiya.zip;0
Madagascar;MDG;1;;p_code;region;;;;http://data.humdata.org/dataset/26fa506b-0727-4d9d-a590-d2abee21ee22/resource/d82b7118-2af4-41ab-a372-b343f866c786/download/mdg_polbnda_adm1_region_NDMO_OCHA.zip;0
Madagascar;MDG;2;;p_code;district;reg_pcode;region;;http://data.humdata.org/dataset/26fa506b-0727-4d9d-a590-d2abee21ee22/resource/dd9b2c7f-3f46-416b-874e-b558ae48af15/download/mdg_polbnda_adm2_district_NDMO_OCHA.shp.zip;0
Madagascar;MDG;3;;p_code;commune;dist_pcode;district;;http://data.humdata.org/dataset/26fa506b-0727-4d9d-a590-d2abee21ee22/resource/8f25815e-580e-4263-939e-22c8b9b232b1/download/mdg_polbnda_adm3_commune_NDMO_OCHA.shp.zip;0
Malawi;MWI;3;;p_code;trad_auth;;region;pop2008;http://data.humdata.org/dataset/ee4b94af-ac99-45d8-9b6d-d4d9dd68c7fc/resource/69aef719-86aa-4a3b-935a-cc35a6805202/download/mwi_popa_adm3_tradauth_geonode_nso2008_ocha.zip;1
Malawi;MWI;1;;p_code;region;;;pop08;http://data.humdata.org/dataset/58757fd0-c40d-43bd-8e2b-d93356bf275c/resource/bbc39fb7-2105-4e25-8707-c262b45f44e6/download/mwi_popa_adm1_regions_nso2008_ocha.zip;1
Malawi;MWI;2;;p_code;district;;region;pop08;http://data.humdata.org/dataset/7c60c897-39a2-411a-ab10-5193263d951d/resource/abb4842a-4da2-4426-b797-c482363cbb02/download/mwi_popa_adm2_district_geonode_nso2008_ocha.zip;1
Mali;MLI;1;;pcode_ad_1;admin1_nam;pcode_ad_0;admin0_nam;pop2017_to;http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/1f4755a2-b3d7-4634-9273-430048d40684/download/mli_admbnda_adm1_pop_2017.zip;1
Mali;MLI;2;;pcode_ad_2;admin2_nam;pcode_ad_1;admin1_nam;pop2017_t;http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/bc251c53-9c78-48b2-ab8f-c92d9269faf2/download/mli_admbnda_adm2_pop_2017.zip;1
Mali;MLI;3;;pcode_ad_3;admin3_nam;pcode_ad_2;admin2_nam;pop2017_to;http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/303f57d8-965f-4c70-a081-3e5e0fcba2bf/download/mli_admbnda_adm3_pop_2017.zip;1
Mauritania;MRT;1;;;;;;;http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/1e7d4873-1151-4d83-a38d-11f047d8b994/download/MRT_admbnd1_1m_Ocha.zip;0
